Periodo;Año;Municipio;Tipo;Valor;;;;;;;;;
1/1/2019;2019;Azul;Total de víctimas de otros delitos contra la integridad sexual;11;;;;;;;;;
1/1/2019;2019;Azul;Total de víctimas de violaciones;16;;;;;;;;;
1/1/2020;2020;Azul;Total de víctimas de homicidios dolosos;2;;;;;;;;;
1/1/2020;2020;Azul;Total de víctimas de lesiones dolosas;169;;;;;;;;;
1/1/2020;2020;Azul;Total de víctimas de otros delitos contra la integridad sexual;45;;;;;;;;;
1/1/2020;2020;Azul;Total de víctimas de violaciones;22;;;;;;;;;
1/1/2021;2021;Azul;Total de víctimas de homicidios dolosos;2;;;;;;;;;
1/1/2021;2021;Azul;Total de víctimas de lesiones dolosas;256;;;;;;;;;
1/1/2021;2021;Azul;Total de víctimas de otros delitos contra la integridad sexual;88;;;;;;;;;
1/1/2021;2021;Azul;Total de víctimas de violaciones;21;;;;;;;;;
1/1/2014;2014;Bahía Blanca;Total de víctimas de homicidios dolosos;11;;;;;;;;;
1/1/2014;2014;Bahía Blanca;Total de víctimas de lesiones dolosas;792;;;;;;;;;
1/1/2014;2014;Bahía Blanca;Total de víctimas de otros delitos contra la integridad sexual;46;;;;;;;;;
1/1/2014;2014;Bahía Blanca;Total de víctimas de violaciones;2;;;;;;;;;
1/1/2015;2015;Bahía Blanca;Total de víctimas de homicidios dolosos;11;;;;;;;;;
1/1/2015;2015;Bahía Blanca;Total de víctimas de lesiones dolosas;1125;;;;;;;;;
1/1/2015;2015;Bahía Blanca;Total de víctimas de otros delitos contra la integridad sexual;140;;;;;;;;;
1/1/2015;2015;Bahía Blanca;Total de víctimas de violaciones;1;;;;;;;;;
