subtipo,barrio,mes,anio,count
Robo total,FLORES,NOVIEMBRE,2018,259
Hurto total,SAN NICOLAS,FEBRERO,2019,259
Robo total,CABALLITO,ABRIL,2017,259
Robo total,RECOLETA,OCTUBRE,2016,259
Robo total,CABALLITO,FEBRERO,2018,259
Hurto total,SAN NICOLAS,JULIO,2018,259
Robo total,FLORES,JULIO,2017,259
Robo total,CABALLITO,ENERO,2018,259
Hurto total,PALERMO,JUNIO,2017,258
Hurto total,SAN NICOLAS,OCTUBRE,2017,258
Robo total,ALMAGRO,AGOSTO,2019,258
Hurto total,BALVANERA,MAYO,2018,258
Robo total,BARRACAS,OCTUBRE,2023,257
Robo total,ALMAGRO,JUNIO,2017,257
Hurto total,BALVANERA,AGOSTO,2018,257
Hurto total,BALVANERA,ABRIL,2019,257
Robo total,RECOLETA,DICIEMBRE,2017,257
Robo total,BARRACAS,NOVIEMBRE,2019,256
Robo total,RECOLETA,JUNIO,2018,256
Robo total,ALMAGRO,FEBRERO,2018,256
Robo total,CABALLITO,SEPTIEMBRE,2017,256
Robo total,CABALLITO,AGOSTO,2023,256
Robo total,BALVANERA,FEBRERO,2017,256
Robo total,ALMAGRO,NOVIEMBRE,2016,255
Hurto total,RECOLETA,AGOSTO,2022,255
Hurto total,BALVANERA,FEBRERO,2023,255
Robo total,FLORES,NOVIEMBRE,2017,255
Hurto total,PALERMO,FEBRERO,2017,254
Hurto total,PALERMO,ENERO,2016,254
Robo total,FLORES,ABRIL,2017,254
Robo total,RECOLETA,MARZO,2022,254
Robo total,ALMAGRO,ABRIL,2019,253
Robo total,ALMAGRO,JULIO,2022,253
Robo total,FLORES,ENERO,2017,253
Robo total,CABALLITO,FEBRERO,2016,253
Robo total,FLORES,FEBRERO,2023,252
Hurto total,FLORES,AGOSTO,2022,252
Hurto total,SAN NICOLAS,ENERO,2020,252
Hurto total,RECOLETA,OCTUBRE,2022,252
Robo total,ALMAGRO,MARZO,2023,252
Robo total,SAN NICOLAS,AGOSTO,2018,252
Robo total,FLORES,DICIEMBRE,2019,251
Robo total,FLORES,FEBRERO,2019,251
Hurto total,SAN NICOLAS,MAYO,2018,251
Robo total,FLORES,MAYO,2017,251
Hurto total,PALERMO,NOVIEMBRE,2018,250
Robo total,CABALLITO,JUNIO,2018,250
Hurto total,PALERMO,ENERO,2018,250
Hurto total,CABALLITO,MARZO,2023,249
Robo total,FLORES,JULIO,2019,249
Robo total,FLORES,OCTUBRE,2018,249
Robo total,CABALLITO,MARZO,2019,249
Robo total,RECOLETA,JULIO,2022,248
Robo total,PALERMO,JUNIO,2021,248
Robo total,ALMAGRO,AGOSTO,2023,248
Hurto total,SAN NICOLAS,FEBRERO,2020,247
Hurto total,PALERMO,FEBRERO,2018,247
Hurto total,PALERMO,ABRIL,2021,247
Robo total,ALMAGRO,OCTUBRE,2023,247
Robo total,RECOLETA,FEBRERO,2018,246
Robo total,PALERMO,ABRIL,2021,246
Robo total,SAN NICOLAS,ENERO,2019,246
Hurto total,BALVANERA,SEPTIEMBRE,2017,246
Hurto total,SAN NICOLAS,MAYO,2016,245
Robo total,CABALLITO,MAYO,2017,245
Robo total,ALMAGRO,JUNIO,2023,245
Robo total,ALMAGRO,ENERO,2016,245
Robo total,FLORES,JUNIO,2022,244
Hurto total,RECOLETA,ABRIL,2023,244
Hurto total,SAN NICOLAS,DICIEMBRE,2017,244
Robo total,RECOLETA,OCTUBRE,2023,244
Robo total,ALMAGRO,DICIEMBRE,2023,244
Robo total,CABALLITO,SEPTIEMBRE,2023,244
Robo total,VILLA LUGANO,MAYO,2023,243
Hurto total,RECOLETA,NOVIEMBRE,2023,243
Hurto total,FLORES,JUNIO,2022,242
Robo total,RECOLETA,ABRIL,2018,242
Hurto total,CABALLITO,DICIEMBRE,2023,242
Hurto total,SAN NICOLAS,ABRIL,2016,242
Hurto total,FLORES,JULIO,2022,242
Robo total,ALMAGRO,JUNIO,2018,242
Robo total,RECOLETA,OCTUBRE,2022,242
Robo total,ALMAGRO,MAYO,2017,242
Robo total,RECOLETA,MAYO,2019,242
Hurto total,RECOLETA,JUNIO,2022,242
Hurto total,PALERMO,FEBRERO,2021,242
Robo total,ALMAGRO,JULIO,2017,241
Robo total,ALMAGRO,MAYO,2019,241
Robo total,FLORES,NOVIEMBRE,2019,240
Hurto total,SAN NICOLAS,JUNIO,2017,240
Hurto total,PALERMO,JUNIO,2018,240
Robo total,BARRACAS,JUNIO,2023,239
Robo total,RECOLETA,FEBRERO,2017,239
Robo total,SAN NICOLAS,DICIEMBRE,2018,239
Hurto total,BALVANERA,NOVIEMBRE,2017,239
Robo total,PALERMO,OCTUBRE,2020,239
